t_in,t_rcv,latence_us,q0_in,q0_rcv
4172143702,4172143704,2,-0.393144,-0.347613
4172164037,4172164039,2,-0.400783,-0.362897
4172174106,4172174108,2,-0.422164,-0.377178
4172224547,4172224549,2,-0.428764,-0.390863
4172234653,4172234654,1,-0.435092,-0.405075
4172275105,4172275108,3,-0.441146,-0.416564
4172295358,4172295360,2,-0.452414,-0.425816
4172315571,4172315574,3,-0.457621,-0.434687
4172345922,4172345926,4,-0.467165,-0.443215
4172376236,4172376238,2,-0.471496,-0.451387
4172396409,4172396411,2,-0.475529,-0.458946
4172426639,4172426642,3,-0.479262,-0.465178
4172456951,4172456953,2,-0.485817,-0.470404
4172477128,4172477130,2,-0.488635,-0.475571
4172527722,4172527724,2,-0.491144,-0.480468
4172537836,4172537839,3,-0.493344,-0.484497
4172568161,4172568163,2,-0.495231,-0.487814
4172588308,4172588310,2,-0.496806,-0.490582
4172618647,4172618649,2,-0.498067,-0.492905
4172669194,4172669198,4,-0.499014,-0.494842
4172679310,4172679313,3,-0.499645,-0.496424
4172699554,4172699556,2,-0.499961,-0.497670
4172729879,4172729881,2,-0.499644,-0.498589
4172760172,4172760175,3,-0.498066,-0.499120
4172780432,4172780434,2,-0.496805,-0.499033
4172851191,4172851194,3,-0.493342,-0.497413
4172871340,4172871342,2,-0.491142,-0.496110
4172952174,4172952176,2,-0.485814,-0.492565
4172982465,4172982467,2,-0.482688,-0.490326
4173042976,4173042978,2,-0.475525,-0.484920
4173083449,4173083452,3,-0.471492,-0.481757
4173113684,4173113686,2,-0.467161,-0.478290
4173164141,4173164143,2,-0.457616,-0.470452
4173194447,4173194449,2,-0.452408,-0.466085
4173224732,4173224733,1,-0.441140,-0.461425
4173285293,4173285295,2,-0.428757,-0.448353
4173366108,4173366110,2,-0.408162,-0.427920
4173436862,4173436864,2,-0.393135,-0.414074
4173457109,4173457111,2,-0.385247,-0.406854
4173487408,4173487410,2,-0.360144,-0.399406
4173548043,4173548045,2,-0.332994,-0.376780
4173578344,4173578346,2,-0.323515,-0.360903
4173608663,4173608668,5,-0.313833,-0.347001
4173638998,4173639000,2,-0.303952,-0.334911
4173669344,4173669347,3,-0.293878,-0.323847
4173719884,4173719886,2,-0.251796,-0.301867
4173790611,4173790613,2,-0.229773,-0.270505
4173800719,4173800721,2,-0.207170,-0.255526
4173831062,4173831067,5,-0.195668,-0.240849
4173861397,4173861399,2,-0.184043,-0.224656
4173911958,4173911961,3,-0.160452,-0.196394
4173942255,4173942256,1,-0.148501,-0.183661
4173972644,4173972646,2,-0.136455,-0.171316
4174043323,4174043325,2,-0.112114,-0.150087
4174063490,4174063493,3,-0.099833,-0.140310
4174154378,4174154381,3,-0.050157,-0.111720
4174164488,4174164490,2,-0.037640,-0.092084
